fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
6883;18.5200000005262;9.55307388305664;Celtis;australis;11.2;9;Feuillu;2;1199.99128540305;463.557161258589;1.63398692810458;0.683623888365639
20676;51.959999999972;9.55319976806641;Celtis;australis;10.0;9;Feuillu;2;1596.81139337952;689.034443291938;1.37028483448807;0.577278925763172
1378;56.4399999993993;9.55574035644531;Celtis;australis;9.54;9;Feuillu;2;2148.16749467708;831.01897419118;1.30518097941803;0.52797682786907
875;37.839999999213;9.55726623535156;Celtis;australis;10.56;9;Feuillu;2;1706.50845665962;680.441973666229;1.45771670190275;0.676398143317537
12449;39.1199999998975;9.56120300292969;Celtis;australis;10.2;9;Feuillu;2;1893.57668711656;778.674839633192;1.46625766871166;0.695726439924561
7067;41.119999999851;9.56535339355469;Celtis;australis;8.94;9;Feuillu;2;1638.15661478599;778.843420541533;1.75583657587549;0.767604655499623
7963;54.0400000008196;9.56690216064453;Celtis;australis;10.2;9;Feuillu;2;1421.58771280533;762.939686170733;1.5240562546262;0.623359829649224
11710;43.3200000003632;9.56697082519531;Celtis;australis;9.79;9;Feuillu;2;1587.40094339623;768.040340552559;1.42358490566038;0.624054286280439
1366;64.200000000582;9.56808471679688;Celtis;australis;9.78;9;Feuillu;2;2118.02369077307;921.754753106897;1.53678304239401;0.630100039804246
8114;55.9200000002235;9.56890296936035;Celtis;australis;10.0;9;Feuillu;2;1549.23533619456;698.264870555833;1.42274678111588;0.618709633940308
11914;75.5999999998837;9.56916809082031;Celtis;occidentalis;6.76;9;Feuillu;2;1458.64126984127;768.604595155159;1.92910052910053;0.781566555642711
12351;90.3599999999954;9.57289123535156;Celtis;australis;10.14;9;Feuillu;2;2178.2408145197;879.085678122843;1.35900841080124;0.559771414660646
2449;22.6400000001444;9.58078289031982;Celtis;australis;10.18;9;Feuillu;2;1215.10954063604;463.908767853453;1.4982332155477;0.631194718344214
12492;38.0000000001165;9.58479309082031;Celtis;australis;9.92;9;Feuillu;2;1604.62842105263;718.142724293299;1.51052631578947;0.698415301606436
12758;66.4400000021001;9.58555603027344;Celtis;australis;9.8;8;Conifère;1;1363.33654425045;771.25996388474;2.03612281757977;0.829843935823912
7970;33.4399999997718;9.58563804626465;Celtis;australis;9.92;9;Feuillu;2;1384.79784688995;664.357923683397;1.4677033492823;0.628402689926204
8071;54.3199999993853;9.58605766296387;Celtis;australis;10.0;9;Feuillu;2;1662.5265095729;801.08549448481;1.34683357879234;0.530124463939524
8744;23.5200000005495;9.5924243927002;Celtis;australis;10.2;9;Feuillu;2;1736.23129251701;802.433972260088;1.42006802721088;0.542799491423219
14140;36.0000000006985;9.5938606262207;Celtis;australis;10.59;9;Feuillu;2;1871.01;877.528379351157;1.34111111111111;0.607617285330249
18522;26.9199999990826;9.59420585632324;Celtis;australis;9.85;9;Feuillu;2;1422.84821428571;648.664452702006;1.62946428571429;0.67340707893709
8143;27.639999999702;9.59614562988281;Celtis;australis;9.57;9;Feuillu;2;1216.27785817656;505.723042230794;1.50072358900145;0.664098616773905
12723;19.6399999987474;9.59922790527344;Celtis;australis;8.99;8;Conifère;1;1160.75763747454;558.591595522443;2.25458248472505;0.762108220487058
20374;50.6000000008615;9.6007194519043;Celtis;australis;10.59;9;Feuillu;2;1822.22845849802;736.439794369924;1.39367588932806;0.597722559879276
14055;39.0399999967217;9.60377502441406;Celtis;australis;11.74;9;Feuillu;2;1646.24795081967;827.574014814265;1.36065573770492;0.585907923310674
8199;43.8799999997998;9.60521507263184;Celtis;australis;10.31;9;Feuillu;2;1795.9708295351;906.704331532112;1.23974475843209;0.441621203784475
20952;24.8399999990966;9.60550308227539;Celtis;australis;10.15;9;Feuillu;2;980.266129032258;427.986759458879;1.85161290322581;0.73654422714674
